지점명,일시,평균기온(°C),평균최저기온(°C),평균최고기온(°C)
군산,1969,11.8,8.5,15.8
대구,1969,12.5,7.7,17.7
전주,1969,12.4,8.1,17.5
울산,1969,12.8,8.5,18.2
광주,1969,12.6,8.4,17.5
부산,1969,13.4,10.4,17.4
통영,1969,13.2,10.2,16.5
목포,1969,12.9,9.8,17
여수,1969,13.2,10.1,16.9
제주,1969,14.9,11.4,18.3
서귀포,1969,15.5,11.7,19
속초,1970,11.6,8.6,14.7
춘천,1970,10.2,4.9,16.1
강릉,1970,12.1,8.2,16.6
서울,1970,11.4,7.5,16.1
인천,1970,10.8,7.6,14.9
울릉도,1970,11.5,9.1,14.8
수원,1970,10.6,5.4,16.2
서산,1970,11.2,7.1,16.3
청주,1970,11.2,6.5,16.7
대전,1970,11.6,7.1,17.1
추풍령,1970,11,6.6,16.3
포항,1970,12.7,8.6,17.4
군산,1970,12.1,8.8,16
대구,1970,12.7,8.1,17.8
전주,1970,12.6,7.6,18
울산,1970,12.9,8.8,18.1
광주,1970,12.8,8.7,17.8
부산,1970,13.5,10.6,17.4
통영,1970,13.7,10.5,17.8
목포,1970,13,10.2,17.4
여수,1970,13.3,10.3,16.9
제주,1970,14.7,11.6,17.9
서귀포,1970,15.4,11.9,19
진주,1970,12.6,7.5,18.4
속초,1971,12,8.9,15.2
춘천,1971,10.4,5.2,16.3
강릉,1971,12.3,8.5,16.7
서울,1971,11.5,7.8,16.1
인천,1971,11,7.9,15.1
울릉도,1971,11.9,9.4,15.4
수원,1971,10.9,6.1,16.3
서산,1971,11.3,7.1,16.4
울진,1971,,7.9,17.5
청주,1971,11.3,6.4,16.9
대전,1971,11.8,7.1,17.2
추풍령,1971,11.2,6.7,16.7
포항,1971,13.1,8.6,18.1
군산,1971,12.2,9,16.1
대구,1971,13,8.2,18.4
전주,1971,12.7,7.6,18.3
울산,1971,13.3,8.6,18.8
광주,1971,12.9,8.6,18
부산,1971,13.9,10.9,17.9
통영,1971,14,10.6,18.4
목포,1971,13.3,10.1,17.8
여수,1971,13.6,10.5,17.5
제주,1971,15.4,12,18.8
서귀포,1971,15.9,12.4,19.5
진주,1971,13,7.8,18.8
속초,1972,11.9,8.7,15.1
대관령,1972,6.3,1.1,11.6
춘천,1972,10.7,5.7,16.3
강릉,1972,12.6,8.7,17.2
서울,1972,11.9,8,16.5
인천,1972,11.3,8,15.4
원주,1972,,5.6,16.3
울릉도,1972,12.2,9.7,15.6
수원,1972,11.3,6.3,16.6
서산,1972,11.6,7.3,16.8
울진,1972,12.8,7.9,17.4
청주,1972,11.7,7.1,16.9
대전,1972,12.2,7.8,17.3
추풍령,1972,11.5,7,16.8
포항,1972,13.2,9.1,17.9
군산,1972,12.4,9.1,16.4
대구,1972,13.1,8.4,18.3
전주,1972,13,8.5,18.2
울산,1972,13.3,8.9,18.4
광주,1972,13.2,9,18.2
부산,1972,14.1,11.1,17.9
통영,1972,14.2,10.7,18.2
목포,1972,13.4,10.2,17.7
여수,1972,13.8,10.7,17.5
완도,1972,,10.4,17.5
제주,1972,15.3,11.8,18.5
서귀포,1972,15.9,12.6,19.3
진주,1972,13.3,8.1,18.7
속초,1973,12.1,8.6,15.5
대관령,1973,6.6,1.6,11.7
춘천,1973,11,6.1,16.9
강릉,1973,12.9,9,17.3
서울,1973,12,8.2,16.8
인천,1973,11.7,8.4,15.7
